source_id,active_days,total_detections,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,persistence_score
SOURCE_0355,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0356,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0357,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0358,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0359,2,3,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,0.24
SOURCE_0360,1,4,0,0.14285714285714,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.16
SOURCE_0361,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0362,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0363,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0364,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0365,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0366,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0367,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0368,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0369,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0370,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0371,2,2,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,0.23
SOURCE_0372,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0373,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0374,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0375,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0376,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0377,2,2,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,0.23
